id;Piece ID;image_url;xml_url;lyrics_xml;lyrics_length;lyrics-gpt-4o-2024-05-1_try_1;lyrics-cogvlm_try_1;lyrics-cpm_v2_5_llama3_try_1;;
1;M02-010;https://musicatradicional.eu/sites/default/files/images/mision_m02/10_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-010.xml;Dame, niña, tus tijeras para cortarteun vestido,  que no teha de faltar nada Y teha de venir cumplido;116.0;"Dame, niñas tus tijeras para cortarte un vestido,
que no te ha de faltar nada y te ha de venir cumplido.";" 
     Da-me, ni-natus ti-je-nas Pa-ra con-tar-taun-tes
     ti-do, Que no tehas de fa-tar na-da y tea de ve-ni-cum.
     pli-do - - -
     ```
    ";"plorado
el Visto""
(34d)
100=-
2 4.
Do-me,
mi-ni-a,tus - ti-je rao Pa-ra-cor.tar-teu-un-ses-

3.1..F...E....e...

t-doy Que no teha ele-far-tor ne-da Y tefa-de ve-ne-reum.

pili-do -

Dieto: Natividad RomirezJanz.-59cainos,-de-jommosieria-la-aprendio enlomasiera";;
2;M02-011;https://musicatradicional.eu/sites/default/files/images/mision_m02/11_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-011.xml;"Jesús, que triunfantetró,   Domingo Jerusalén
PorMesías seclamó, y todo pueblo tropel";104.0;"Je - sus y que triun-fan-te en-tro. 
Do-min-gen-te reu-sa-len;
 Po-me-
 si - as sea. cla - mo -
 y to - do el pues-blo en tro - pel.";" 
     Je-sus, quietunfante-en-tro, Do-min-gende-reu-sa-ley. Por-elle.
     Si-as sea cla-mo- y to-do-pur-bloo-en-tru-ped.
    ";"M. Somosiera
29 396-C

Domingo del Parnas"" (Canlase durante lamisa odel dia)

104=1    I   II     IIII IV V VI VII VIII IX X XI XII XIII XIV XV XVI XVII XVIII XIX XX21-7-
Je sus -que triunfante-en-tro, Do-min-go-pen Je-rus-sa-le-n-tr-o Por Me.

si-as sea clamo-y to-doel pur-blo-cien-tra-per-te-mi-em-br0.
E H3 verso-dela quintilla-final-se,
y dice-repitiendol terger miembrO,

Dict.: Natividad Ramirez Janz.-59anos-, desomosierra Kaaprendio enJomsierre";;
4;M02-013;https://musicatradicional.eu/sites/default/files/images/mision_m02/13_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-013.xml;Un rey moro teníaun hijo Un rey moro teníaun hijo que  tranquilo se llamaba;86.0;"Un rey moro tenía un hijo, Un rey moro tenía un hijo
Que tranquilo se llamaba";"text
    Un rey moro te niaun hi-jo, Un rey moro te niaun
    hi-jo Que Tran-qui-lo - se Ha-ma-ba
    ";"
El Rey Moar
(Romance)
""Amor y Amn""
Un rey mío te-niáun,
Um-re-y mo-ro-te-ña-un Umrey-mo-ró te-niaún.
Hi-j-o Lee Tran-gu-i-lo -se ll-a--ma-ba-x-
";;
5;M02-014;https://musicatradicional.eu/sites/default/files/images/mision_m02/14_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-014.xml;La Carmela se pasea  por una sadelante  con dolores de parir,  corazón se le parte;97.0;"La Carmela se pasea 
Por una sala adelante
Con dolores de parir,
Quedó razón se le parte.
";" 
     Carmela (Romance)
     La Carmela se pausa — Por una sajada de lante — Con do-lo-res de pa-nir — Luece-co-ra.
     Zon se le parte — 
    ";"
Carmela
La Car-mel-a-se pa-see-o-sa-la-de-
Con-do-lo-res-pe-riz-y,
Zu-cil-co-ra.
";;
6;M02-015;https://musicatradicional.eu/sites/default/files/images/mision_m02/15_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-015.xml;El dia de  los torneos  Pasé por la  morería  Yal pie deuna  fuente clara Habíauna mora linda;109.0;"El dia de los torneos
Pase por la moreria
Y al pie de una fuente clara
Vi a una mora linda";"
    El a la de los torneos — — Pa-se porla
    mo-ne-ri-a — — Yal pie deuna — fecen cla-rata
    bi-a u-na mo — ro linc-la — —
    ";"La Moora Sin
(Romance) (Romantic)
30 julio del 19Hh =
lo do humana

El di - a, el dia -
los torneos -

mo-re-ri-a-
Yal pie demu-na-

be au na mo ra lin da";;
7;M02-016;https://musicatradicional.eu/sites/default/files/images/mision_m02/16_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-016.xml;Esta mañana temprano Esta mañana temprano ¡ay ay ay! Antes de rayar el alba;88.0;"Esta mañana temprano, esta mañana temprano,
¡ay, ay, ay, ay!
Antes de rayar el alba";"
    praya, praya,
    ay, ay,
    Antes de royar el alba.
    ";"
    El Mañanero en el cielo ""(Romance)""
";;
8;M02-017;https://musicatradicional.eu/sites/default/files/images/mision_m02/17_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-017.xml;La rueda de la fortuna nunca se pudo ver quieta De media vuelta que dio  Me trajo miaesta tierra;108.0;"La rueda de la fortuna blanca se pudo ver
quieta. De media vuelta que dió. Me trajo a mi esta tierra";" 
     La rueda de la fortuna
     que te diabuella que dió
     Meta la amarilla a la tierra
    ";"El Jueves 30 Julio del '94
""La Rueda della Fortuna""
(Romance)

#63.-
9.
8.

Larve...adela for tu-n-a Pan.case pur-do-ver

quie ta De me viauelta que did- Me tra-famies, oes tor tie-rro a...

Dico:ManuclJanzPascual-Epaimos-de-Jonmorierra.Lag-prendien-on-Somi-sierrs...";;
9;M02-019;https://musicatradicional.eu/sites/default/files/images/mision_m02/19_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-019.xml;Al entrar en la plaza, ¿Qué cantaremos? Tú_eres la del amor Tú_eres la que me robas Vicorazón res la del amor;122.0;"Al entrar en la plaza, ¿qué cantarremos?
Que nos saquen la bota, que beberemos.
Tú eres la del amor,
Tú eres la que me robas vida y corazón,
Tú eres la del amor.
";" 
     Al en-trar en la pla-zza, Que can-ta-re-mos.
     Que nos so-que-nla bo-ta, Que be-be-ne-mos.
     La del a-mor, Que res la que me ro-bas Vi-day co-ra.
     Zon,Tue-res la del a-mor.
    ";"Que nos sa-qui-en-lo-re-mos,
be-be-bé re-mós Tu-i-es
7

la-del-a mor-rá-
Tú-e-res lo-me-ro bas Dr.-day-co-ra-

Ritmos-de los-han-ders:
1 2 etc.

20-ni-jee res-las do-la-o mo-or,-,

Dicho: Manu-el Janz Pase-u-al.39 anos-, -de Somosi-era La afrendien-do Jomasierra.";;
10;M02-001;https://musicatradicional.eu/sites/default/files/images/mision_m02/1_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-001.xml;Entares te traigo las doce horas para que te diviertas divina_aurora.;81.0;"En canta-res te traigo das do-ce ho-ras Pa-ra
que te di-viert-as Di-vi-nau-ro-ra";" 
    En can-ta-res te tra-go las do-ce ho-ras Pa-ra
    que te di-vier-tas Di-vi-nau-ro-ra
    ";"que te di - viertas
- Do-vi-nacu-ro-ra

Dici: Sofia Sanz Hernandez,
70 anos-, 
de Jomosierria. La aprendio en Somosierra.";;
11;M02-020;https://musicatradicional.eu/sites/default/files/images/mision_m02/20_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-020.xml;"Daría porque me dieras de tu linda boca sí. ¡Cómo verdeguea, cómo verdeguea! Que yo no voy sola, amor me lleva, a cogerlas verdeguilla el campo verdeguea. ¡Cómo verdeguea, cómo verdeguea! Que yo no voy sola, que amor me lleva.
Las alfombras de Turquía oro del potosí.";311.0;"Dari-a por que me die-ras de tu lin-da bo-qui-ta,
Las al-fom-bras de Ter-quel y el o-ro del Po-to-si.

¡Co-mo ver-de-que-a, co-mo ver-de-que-a! Que yo no voy so-la,
a-la-quela-mormelle-va, a-co-ger la-ver-de-qui-lla Lucenícamoa

ver-de-que-a! ¡Co-mo ver-de-que-a, co-mo ver-de-que-a! Que yo
no voy so - la, quella-a-mormelle-va.

Dieta Apolonia Sanz Morreno 45 años de Somosierra La aprendió en Somosierra";"Da-ri-a por-que-me-di-ras De tu lin-dal bo-caunsi
    Las al-fon-bras de Tar-qui-a yel o-ro del Po-to-si.
    Có-mo ver-de-que o, Có-mo ver-de-que a, Que yo no voy so
    La que la mormelle-va, A co-ger lo ver-de-gui-la Lucenelcampo
    Ver-de-que o, Có-mo ver-de-que a, Có-mo ver-de-que a, Que yo no voy so
    La que la mormelle-va.
    Dieto: Apotomía Janz Moreno - Banzos de Tomosivera - La apren-dio en Tomosivera
    2. fota";"Somosieria = 30 del Julio
        Baile da Rueda (Jota bailada)
            I.
                Dari- a -porque me dielas, De tu lin-dal bo-caunsi,
                    Las al-fon-bras sol-te Turqui-a yel o-ro-de-l Po-to-so-si-la.";;
12;M02-021;https://musicatradicional.eu/sites/default/files/images/mision_m02/21_result.jpg;https://musicatradicional.eu/system/files/musicxml/mision_m02/m02-021.xml;¡Oh Quéalegre saleel sol!  ¡Qué contento queestael día  ¡Qué regocijo que lleva La soberana María En ver que lleva delante Hijo que tanto quería !;169.0;"Oh, que alegre sale el sol,

¡Qué contento que está el dia!

¡Que regocijo que lleva
   
La soberana María
   
En ver que lleva delante

Hijuelos que tanto quería!";" 
     Que sepa el sol y la luna, Que sepas que el cielo es ancho. Que sepas que el cielo es ancho. Que sepas que el cielo es ancho.
    ";"St. Tomosierro
= 30de Julio do19thH=
La Pasca"" (Domingo Presurrection)
(399)

299 rime metoda

Oh! gue-que-l-e-gr-s sa-lel soli Que-con-te-n-to ques-ta-de!

Fin.

Dict: Apolonia Lana Moreno - Sanlos Sierra Loaprendisinfomaierra.
6131 D4+2512";;
